Datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2010-01-01 00:00:00,0.8719215082500419,0.1,230.0,3.7909630793480082,0.0,0.0,0.0
2010-01-01 01:00:00,0.8446470902489528,0.1,230.0,3.6723786532563163,0.0,0.0,0.0
2010-01-01 02:00:00,1.2802633912377794,0.1,230.0,5.566362570599041,0.0,0.0,0.0
2010-01-01 03:00:00,1.5715506016503593,0.1,230.0,6.8328287028276495,0.0,0.0,0.0
2010-01-01 04:00:00,1.735317168824433,0.1,230.0,7.544857255758405,0.0,0.0,0.0
2010-01-01 05:00:00,2.043670988698015,0.1,230.0,8.885526037817458,0.0,0.0,0.0
2010-01-01 06:00:00,2.214118596337297,0.1,230.0,9.626602592770857,0.0,0.0,0.0
2010-01-01 07:00:00,2.202303437513294,0.1,230.0,9.575232337014324,0.0,0.0,0.0
2010-01-01 08:00:00,2.5100340597760233,0.1,230.0,10.91319156424358,0.0,0.0,0.0
2010-01-01 09:00:00,2.5130885363699607,0.1,230.0,10.926471897260699,0.0,0.0,0.0
2010-01-01 10:00:00,2.5199433400635747,0.1,230.0,10.95627539158076,0.0,0.0,0.0
2010-01-01 11:00:00,2.071888987922694,0.1,230.0,9.008212990968234,0.0,0.0,0.0
2010-01-01 12:00:00,2.251943399128065,0.1,230.0,9.791058257078545,0.0,0.0,0.0
2010-01-01 13:00:00,1.821670304854882,0.1,230.0,7.920305673282095,0.0,0.0,0.0
2010-01-01 14:00:00,1.758071048970547,0.1,230.0,7.64378716943716,0.0,0.0,0.0
2010-01-01 15:00:00,1.618237706122514,0.1,230.0,7.035816113576147,0.0,0.0,0.0
2010-01-01 16:00:00,1.2614004778363859,0.1,230.0,5.48434990363646,0.0,0.0,0.0
2010-01-01 17:00:00,1.0306864969259386,0.1,230.0,4.481245638808429,0.0,0.0,0.0
2010-01-01 18:00:00,0.7688752907619492,0.1,230.0,3.3429360467910834,0.0,0.0,0.0
2010-01-01 19:00:00,0.48114962927571886,0.1,230.0,2.09195490989443,0.0,0.0,0.0
